Pas,Contrôle,V0(V),V1(V),I(mA),E(mAh)
0,0,0.0016121152906691805,0.0016121152906691805,0.0,0.0
1,1,0.008060576453346634,0.008060576453346634,0.0,0.0
2,1,0.008060576453346634,0.008060576453346634,0.0,0.0
3,1,0.008060576453346634,0.008060576453346634,0.0,0.0
4,1,0.008060576453346634,0.008060576453346634,0.0,0.0
5,1,0.008060576453346634,0.008060576453346634,0.0,0.0
6,1,0.15959941377625764,1.2235955056179775,70.93307278944799,0.01970363133040222
7,1,0.17249633610161183,1.2945285784074252,74.80214948705422,0.04048200618791728
8,1,0.1757205666829509,1.2784074255007325,73.51245725451876,0.060902133203061384
9,1,0.17249633610161183,1.28485588666341,74.15730337078655,0.08150138413939098
10,1,0.17249633610161183,1.2784074255007325,73.72740595994138,0.10198121912826358
11,1,0.17249633610161183,1.2751831949193941,73.51245725451881,0.1224013461434077
12,1,0.17249633610161183,1.2913043478260868,74.58720078163167,0.14312001302719426
13,1,0.1757205666829509,1.304201270151441,75.23204689789934,0.1640178038321663
14,1,0.16927210552027347,1.2751831949193941,73.72740595994138,0.1844976388210389
15,1,0.17249633610161183,1.2751831949193941,73.51245725451881,0.204917765836183
16,1,0.17249633610161183,1.3074255007327793,75.6619443087445,0.22593497258861203
17,1,0.17249633610161183,1.2751831949193941,73.51245725451881,0.24635509960375615
18,1,0.1757205666829509,1.2816316560820709,73.72740595994134,0.26683493459262875
19,1,0.17249633610161183,1.317098192476795,76.30679042501222,0.28803126526624323
20,1,0.1757205666829509,1.2784074255007325,73.51245725451876,0.30845139228138735
21,1,0.1757205666829509,1.2816316560820709,73.72740595994134,0.3289312272702599
22,1,0.17249633610161183,1.3074255007327793,75.6619443087445,0.34994843402268894
23,1,0.1757205666829509,1.28485588666341,73.94235466536395,0.37048797698529
24,1,0.1757205666829509,1.317098192476795,76.09184171958962,0.39162459968517604
25,1,0.17249633610161183,1.2913043478260868,74.58720078163167,0.41234326656896264
26,1,0.17249633610161183,1.3203224230581334,76.52173913043477,0.43359930521630563
27,1,0.17249633610161183,1.3138739618954567,76.09184171958965,0.45473592791619166
28,1,0.1757205666829509,1.3138739618954567,75.87689301416705,0.4758128426423492
29,1,0.17249633610161183,1.2945285784074252,74.80214948705422,0.49659121749986423
30,1,0.1757205666829509,1.3009770395701026,75.01709819247678,0.5174293003311078
31,1,0.17249633610161183,1.28485588666341,74.15730337078655,0.5380285512674374
32,1,0.17249633610161183,1.3106497313141183,75.8768930141671,0.559105465993595
33,1,0.17249633610161183,1.3138739618954567,76.09184171958965,0.580242088693481
34,1,0.17249633610161183,1.317098192476795,76.30679042501222,0.6014384193670955
35,1,0.1757205666829509,1.2784074255007325,73.51245725451876,0.6218585463822396
